Date,Daily Dota 2 Peak Player count
5/21/2017 0:00,911123
5/22/2017 0:00,838678
5/23/2017 0:00,840390
5/24/2017 0:00,805905
5/25/2017 0:00,797062
5/26/2017 0:00,818968
5/27/2017 0:00,923635
5/28/2017 0:00,873294
5/29/2017 0:00,873918
5/30/2017 0:00,847800
5/31/2017 0:00,832495
6/1/2017 0:00,819490
6/2/2017 0:00,867666
6/3/2017 0:00,928430
6/4/2017 0:00,883822
6/5/2017 0:00,830751
6/6/2017 0:00,809983
6/7/2017 0:00,797249
6/8/2017 0:00,814489
6/9/2017 0:00,823567
6/10/2017 0:00,883729
6/11/2017 0:00,855823
6/12/2017 0:00,822562
6/13/2017 0:00,791495
6/14/2017 0:00,785651
6/15/2017 0:00,872641
6/16/2017 0:00,834131
6/17/2017 0:00,906754
6/18/2017 0:00,855060
6/19/2017 0:00,802120
6/20/2017 0:00,784766
6/21/2017 0:00,780268
6/22/2017 0:00,784437
6/23/2017 0:00,826125
6/24/2017 0:00,863411
6/25/2017 0:00,832429
6/26/2017 0:00,770095
6/27/2017 0:00,740686
6/28/2017 0:00,756732
6/29/2017 0:00,763219
6/30/2017 0:00,791816
7/1/2017 0:00,841974
7/2/2017 0:00,816698
7/3/2017 0:00,759540
7/4/2017 0:00,760692
7/5/2017 0:00,745407
7/6/2017 0:00,667224
7/7/2017 0:00,665592
7/8/2017 0:00,820135
7/9/2017 0:00,779676
7/10/2017 0:00,760038
7/11/2017 0:00,712701
7/12/2017 0:00,702882
7/13/2017 0:00,712311
7/14/2017 0:00,746156
7/15/2017 0:00,815283
7/16/2017 0:00,771664
7/17/2017 0:00,725785
7/18/2017 0:00,719330
7/19/2017 0:00,706971
7/20/2017 0:00,714711
7/21/2017 0:00,745225
7/22/2017 0:00,784920
7/23/2017 0:00,757880
7/24/2017 0:00,717978
7/25/2017 0:00,712943
7/26/2017 0:00,696908
7/27/2017 0:00,723427
7/28/2017 0:00,744006
7/29/2017 0:00,780246
7/30/2017 0:00,759097
7/31/2017 0:00,706517
8/1/2017 0:00,712943
8/2/2017 0:00,717029
8/3/2017 0:00,738377
8/4/2017 0:00,782808
8/5/2017 0:00,826943
8/6/2017 0:00,803444
8/7/2017 0:00,760616
8/8/2017 0:00,762209
8/9/2017 0:00,764643
8/10/2017 0:00,778124
8/11/2017 0:00,820461
8/12/2017 0:00,877952
8/13/2017 0:00,858468
8/14/2017 0:00,801058
8/15/2017 0:00,801132
8/16/2017 0:00,779914
8/17/2017 0:00,777417
8/18/2017 0:00,816788
8/19/2017 0:00,857010
8/20/2017 0:00,868759
8/21/2017 0:00,781646
8/22/2017 0:00,780991
8/23/2017 0:00,792795
8/24/2017 0:00,798270
8/25/2017 0:00,816440
8/26/2017 0:00,842919
8/27/2017 0:00,838519
8/28/2017 0:00,758740
8/29/2017 0:00,763792
8/30/2017 0:00,744960
8/31/2017 0:00,774046
9/1/2017 0:00,775954
9/2/2017 0:00,838489
9/3/2017 0:00,814693
9/4/2017 0:00,726102
9/5/2017 0:00,722703
9/6/2017 0:00,721583
9/7/2017 0:00,731744
9/8/2017 0:00,772862
9/9/2017 0:00,814062
9/10/2017 0:00,774100
9/11/2017 0:00,696354
9/12/2017 0:00,697777
9/13/2017 0:00,684224
9/14/2017 0:00,693773
9/15/2017 0:00,766687
9/16/2017 0:00,783228
9/17/2017 0:00,748347
9/18/2017 0:00,657887
9/19/2017 0:00,656007
9/20/2017 0:00,684958
9/21/2017 0:00,733406
9/22/2017 0:00,726513
9/23/2017 0:00,767921
9/24/2017 0:00,742660
9/25/2017 0:00,645377
9/26/2017 0:00,640552
9/27/2017 0:00,644287
9/28/2017 0:00,658696
9/29/2017 0:00,705559
9/30/2017 0:00,754453
10/1/2017 0:00,717184
10/2/2017 0:00,669792
10/3/2017 0:00,663316
10/4/2017 0:00,638188
10/5/2017 0:00,652620
10/6/2017 0:00,694296
10/7/2017 0:00,742165
10/8/2017 0:00,716458
10/9/2017 0:00,639707
10/10/2017 0:00,625464
10/11/2017 0:00,622666
10/12/2017 0:00,816110
10/13/2017 0:00,778608
10/14/2017 0:00,751216
10/15/2017 0:00,729715
10/16/2017 0:00,629981
10/17/2017 0:00,630984
10/18/2017 0:00,612579
10/19/2017 0:00,619587
10/20/2017 0:00,837599
10/21/2017 0:00,744024
10/22/2017 0:00,709881
10/23/2017 0:00,629061
10/24/2017 0:00,632817
10/25/2017 0:00,620282
10/26/2017 0:00,635460
10/27/2017 0:00,665748
10/28/2017 0:00,741867
10/29/2017 0:00,738394
10/30/2017 0:00,720932
10/31/2017 0:00,693089
11/1/2017 0:00,788741
11/2/2017 0:00,760272
11/3/2017 0:00,764641
11/4/2017 0:00,807834
11/5/2017 0:00,779509
11/6/2017 0:00,741044
11/7/2017 0:00,679878
11/8/2017 0:00,649690
11/9/2017 0:00,677750
11/10/2017 0:00,727364
11/11/2017 0:00,786940
11/12/2017 0:00,758069
11/13/2017 0:00,690572
11/14/2017 0:00,634089
11/15/2017 0:00,619877
11/16/2017 0:00,640608
11/17/2017 0:00,719090
11/18/2017 0:00,752560
11/19/2017 0:00,725103
11/20/2017 0:00,659041
11/21/2017 0:00,661700
11/22/2017 0:00,612966
11/23/2017 0:00,710240
11/24/2017 0:00,747663
11/25/2017 0:00,864584
11/26/2017 0:00,813528
11/27/2017 0:00,673581
11/28/2017 0:00,690391
11/29/2017 0:00,666134
11/30/2017 0:00,683324
12/1/2017 0:00,699223
12/2/2017 0:00,802526
12/3/2017 0:00,773657
12/4/2017 0:00,707020
12/5/2017 0:00,719675
12/6/2017 0:00,646820
12/7/2017 0:00,646457
12/8/2017 0:00,700175
12/9/2017 0:00,790683
12/10/2017 0:00,723585
12/11/2017 0:00,648467
12/12/2017 0:00,658943
12/13/2017 0:00,618393
12/14/2017 0:00,621950
12/15/2017 0:00,796810
12/16/2017 0:00,864939
12/17/2017 0:00,852159
12/18/2017 0:00,796896
12/19/2017 0:00,802183
12/20/2017 0:00,676223
12/21/2017 0:00,670751
12/22/2017 0:00,685073
12/23/2017 0:00,730239
12/24/2017 0:00,714067
12/25/2017 0:00,725389
12/26/2017 0:00,804158
12/27/2017 0:00,829471
12/28/2017 0:00,701863
12/29/2017 0:00,704433
12/30/2017 0:00,730266
12/31/2017 0:00,648744
1/1/2018 0:00,679635
1/2/2018 0:00,707766
1/3/2018 0:00,697706
1/4/2018 0:00,706176
1/5/2018 0:00,734940
1/6/2018 0:00,780059
1/7/2018 0:00,775539
1/8/2018 0:00,765307
1/9/2018 0:00,759245
1/10/2018 0:00,608220
1/11/2018 0:00,641474
1/12/2018 0:00,671365
1/13/2018 0:00,739483
1/14/2018 0:00,738549
1/15/2018 0:00,682159
1/16/2018 0:00,716260
1/17/2018 0:00,587276
1/18/2018 0:00,616503
1/19/2018 0:00,661394
1/20/2018 0:00,739866
1/21/2018 0:00,724554
1/22/2018 0:00,671956
1/23/2018 0:00,670405
1/24/2018 0:00,616414
1/25/2018 0:00,650583
1/26/2018 0:00,686006
1/27/2018 0:00,764256
1/28/2018 0:00,715618
1/29/2018 0:00,649703
1/30/2018 0:00,634039
1/31/2018 0:00,635923
2/1/2018 0:00,632093
2/2/2018 0:00,702049
2/3/2018 0:00,782579
2/4/2018 0:00,723465
2/5/2018 0:00,643777
2/6/2018 0:00,653302
2/7/2018 0:00,610232
2/8/2018 0:00,612055
2/9/2018 0:00,645320
2/10/2018 0:00,686371
2/11/2018 0:00,677416
2/12/2018 0:00,604460
2/13/2018 0:00,594668
2/14/2018 0:00,556587
2/15/2018 0:00,596452
2/16/2018 0:00,604853
2/17/2018 0:00,640124
2/18/2018 0:00,636921
2/19/2018 0:00,572608
2/20/2018 0:00,577711
2/21/2018 0:00,575739
2/22/2018 0:00,599689
2/23/2018 0:00,630666
2/24/2018 0:00,684577
2/25/2018 0:00,664000
2/26/2018 0:00,600983
2/27/2018 0:00,604004
2/28/2018 0:00,589949
